pattern_id,true_signs,estimated_signs,all_match,correct_whenever_active,latest_activation_s,latest_99pct_blend_s,min_abs_eta,min_terminal_blend,max_ratio,peak_u,reason
0,-1-1-1-1-1-1,-1-1-1-1-1-1,1,1,0.321,0.332,0.00791794654797105,0.999591010918622,0.856273035913835,29.7982866071496,none
1,+1-1-1-1-1-1,+1-1-1-1-1-1,1,1,0.027,0.075,0.00790094601072898,0.999404951096281,0.820352874958205,64.3112396412471,none
2,-1+1-1-1-1-1,-1+1-1-1-1-1,1,1,0.332,0.344,0.00793011992537594,0.99970301678954,0.855926266879608,66.2869122844293,none
3,+1+1-1-1-1-1,+1+1-1-1-1-1,1,1,0.026,0.073,0.00791007541766058,0.999509152469635,0.820353552521547,68.2686602161736,none
4,-1-1+1-1-1-1,-1-1+1-1-1-1,1,1,0.32,0.331,0.00787842984007732,0.99910562118132,0.855822871441672,28.2654939711272,none
5,+1-1+1-1-1-1,+1-1+1-1-1-1,1,1,0.027,0.103,0.00789781554363463,0.999366935935169,0.820352975203409,64.240615333788,none
6,-1+1+1-1-1-1,-1+1+1-1-1-1,1,1,0.33,0.342,0.00791487670263973,0.999559965340741,0.855424088280719,66.8264961001627,none
7,+1+1+1-1-1-1,+1+1+1-1-1-1,1,1,0.026,0.094,0.00791058598650482,0.999514686659134,0.8203536260955,68.5293122527318,none
8,-1-1-1+1-1-1,-1-1-1+1-1-1,1,1,0.296,0.31,0.007917653461373,0.999588095553996,0.821495102975252,29.7985491937912,none
9,+1-1-1+1-1-1,+1-1-1+1-1-1,1,1,0.027,0.071,0.00789357117376471,0.99931353371059,0.819999654942151,62.8934879607111,none
10,-1+1-1+1-1-1,-1+1-1+1-1-1,1,1,0.306,0.32,0.00792968208589179,0.999699296207735,0.822322549076646,66.287242065438,none
11,+1+1-1+1-1-1,+1+1-1+1-1-1,1,1,0.027,0.069,0.00790508168094608,0.999453385124333,0.819999654942151,68.0071542064753,none
12,-1-1+1+1-1-1,-1-1+1+1-1-1,1,1,0.295,0.309,0.00787798795506842,0.999099145919798,0.821675149986421,28.2654939711272,none
13,+1-1+1+1-1-1,+1-1+1+1-1-1,1,1,0.027,0.105,0.00789129085926009,0.999283959639058,0.819999654942151,62.9897165252661,none
14,-1+1+1+1-1-1,-1+1+1+1-1-1,1,1,0.305,0.318,0.00791465773951244,0.999557707920954,0.822578512251353,66.82682129483,none
15,+1+1+1+1-1-1,+1+1+1+1-1-1,1,1,0.027,0.095,0.00790594464636257,0.999463234705107,0.819999654942151,68.5277695658447,none
16,-1-1-1-1+1-1,-1-1-1-1+1-1,1,1,0.32,0.33,0.0079150173302038,0.999561412132389,0.856289993350069,29.1289647535062,none
17,+1-1-1-1+1-1,+1-1-1-1+1-1,1,1,0.027,0.075,0.00789963579555023,0.999389182179939,0.820352879715049,64.1190824699258,none
