pattern_id,signs,completed,reason,T_final,rms_e,max_ratio,peak_u,max_s,max_theta,envelope_event,cap_triggered,state_guard,command_guard,ratio_guard,tracking_success,margin_success,accepted,theorem_admissible,runtime_s
0,-1-1-1-1-1-1,1,none,60,0.0364594251603012,0.856209360396818,29.0547824760755,0.935466517668551,0.0581525914182794,0,0,0,0,0,1,1,1,1,72.2059229
1,+1-1-1-1-1-1,1,none,60,0.0350602286493445,0.819999654942151,49.8317402778949,0.935466520612398,0.0713958230137584,0,0,0,0,0,1,1,1,1,72.6100156
2,-1+1-1-1-1-1,1,none,60,0.0364856927469515,0.85592626683205,51.9940055225579,0.93546652411288,0.0658463829044472,0,0,0,0,0,1,1,1,1,73.1867001
3,+1+1-1-1-1-1,1,none,60,0.0350402583074569,0.819999654942151,53.1300861435206,0.935466526858182,0.0756571533045412,0,0,0,0,0,1,1,1,1,71.9909389
4,-1-1+1-1-1-1,1,none,60,0.0362617989905732,0.855697103875553,28.2654939711272,0.935466514726609,0.05802915543844,0,0,0,0,0,1,1,1,1,43.3659194
5,+1-1+1-1-1-1,1,none,60,0.0349619805358741,0.819999654942151,49.4672685484596,0.935466516415023,0.0715020309954726,0,0,0,0,0,1,1,1,1,44.7116386
6,-1+1+1-1-1-1,1,none,60,0.0362690268121534,0.855366177147163,52.2738574979498,0.935466518973119,0.0603350217735769,0,0,0,0,0,1,1,1,1,44.1560488
7,+1+1+1-1-1-1,1,none,60,0.0349303812226409,0.819999654942151,53.3952501416025,0.935466520521548,0.0727287339153929,0,0,0,0,0,1,1,1,1,44.1321755
8,-1-1-1+1-1-1,1,none,60,0.0365295101550693,0.821248786706951,29.0546654570028,0.935466517666919,0.0533922520058922,0,0,0,0,0,1,1,1,1,73.2073849
9,+1-1-1+1-1-1,1,none,60,0.0353665047874582,0.819999654942151,60.5603030858312,0.935466520342206,0.0607155510950466,0,0,0,0,0,1,1,1,1,76.2925082
10,-1+1-1+1-1-1,1,none,60,0.0365478853593818,0.822132531621242,51.9943488493387,0.935466524112546,0.0658207978900056,0,0,0,0,0,1,1,1,1,76.522744
11,+1+1-1+1-1-1,1,none,60,0.0353506128646172,0.819999654942151,60.5982759513829,0.935466526658812,0.0724781587959494,0,0,0,0,0,1,1,1,1,77.6495674
12,-1-1+1+1-1-1,1,none,60,0.0363443045312781,0.821496911083454,28.2654939711272,0.93546651472186,0.0484831401559103,0,0,0,0,0,1,1,1,1,50.0844829
13,+1-1+1+1-1-1,1,none,60,0.0352737719100536,0.819999654942151,60.5881845304021,0.935466516235494,0.0609476051261564,0,0,0,0,0,1,1,1,1,49.018954
14,-1+1+1+1-1-1,1,none,60,0.0363416858865422,0.822431461237424,52.2741973082346,0.935466518971222,0.0602924823674955,0,0,0,0,0,1,1,1,1,47.5124265
15,+1+1+1+1-1-1,1,none,60,0.0352438906868048,0.819999654942151,60.5835471323144,0.935466520400006,0.0634937965862867,0,0,0,0,0,1,1,1,1,47.881931
16,-1-1-1-1+1-1,1,none,60,0.0364557626876366,0.856076943515809,28.3840927858296,0.935466517452035,0.0580840807703888,0,0,0,0,0,1,1,1,1,34.6177566
17,+1-1-1-1+1-1,1,none,60,0.0350655932989964,0.819999654942151,49.7797695557188,0.935466520408351,0.071736896727716,0,0,0,0,0,1,1,1,1,33.8122377
